Dataset 0,
X,Y
41.22800715739755,1.6754884489166102
43.190495149921404,1.65808304174907
45.15306949485291,1.6414871884032767
47.11560066358059,1.62448655814661
49.07804547990061,1.6066763740681975
51.04049029622063,1.5888661899897847
53.00319416976362,1.57348466737661
54.96563898608365,1.5556744832981977
56.928256507218975,1.539483406863277
58.890830852150486,1.5228875535174837
60.85336202087815,1.505886923260817
62.81593636580966,1.4892910699150232
64.77846753453734,1.472290439658357
66.74099870326502,1.4552898094016902
68.70361622440035,1.4390987329667695
70.66614739312803,1.4220981027101027
72.62854903324423,1.4038831417208177
74.59125290678722,1.3885016191076427
76.55391360412636,1.3727153195835955
78.51648794905788,1.3561194662378018
80.47914864639704,1.3403331667137546
82.44172299132853,1.3237373133679609
84.4042109838524,1.3063319062004206
86.36682850498772,1.2901408297655004
88.32948920232688,1.2743545302414527
90.29202037105456,1.257353899984786
92.25455153978224,1.2403532697281197
94.21703953230609,1.2229478625605803
96.1796138772376,1.2063520092147866
98.14214504596528,1.1893513789581198
100.10484891950826,1.1739698563449457
102.06742326443975,1.157374002999152
104.0300407855751,1.1411829265642313
105.99261513050659,1.1245870732184375
107.95493041821514,1.1055625584074065
109.91780699657343,1.0918001434377231
111.88025181289345,1.0739899593593112
113.84308521504792,1.0598227674787557
115.80557752519215,1.0424578380023037
117.7681653155992,1.0259880359898288
119.46359072436051,1.0161068611044701
