Default Dataset,
X,Y
0.0042240674934680075,0.005375549421189993
0.009807547090000777,0.005393185838411935
0.015390333757992682,0.00543412544246296
0.020974021233087697,0.005444770903636178
0.02655666931537143,0.005490371145053016
0.0321401489119042,0.005508007562274958
0.03772307416560426,0.005544286528960163
0.04330599941930435,0.005580565495645371
0.04888871679444218,0.005623835418379304
0.05447143416957999,0.0056671053411132405
0.060054428716134145,0.0057010539891155405
0.0656369382127097,0.005751314867898198
0.07121889336645258,0.005820218296144125
0.07680091781304954,0.005886791405707144
0.08238280367393831,0.0059580251526359755
0.08796399660628627,0.006052562086393896
0.09354622893144547,0.0061121442399081904
0.09912756044950159,0.006202020536300288
0.104709169138974,0.0062825755579607595
0.11029070853559238,0.006365460898304136
0.11587190146794031,0.006459997832062053
0.12145302510743415,0.006556865084502882
0.1270338022826576,0.006665383930358253
0.13261499521500547,0.00675992086411617
0.1381957723902289,0.006868439709971544
0.143775510172641,0.007011913336070541
0.14935573300503174,0.007139074731389177
0.1549350781279374,0.007295753496691319
0.16051583220554277,0.007405049115440994
0.16609730230930708,0.0074902647744672715
0.17167523847751293,0.007694326686321893
0.17725511484563328,0.007833139675055074
0.18283443687092082,0.00799059521325152
0.18841368960335436,0.008150381070130878
0.1939929423357879,0.008310166927010233
0.19957219506822144,0.008469952783889588
0.20515096275067635,0.008646050871549304
0.21072949945695102,0.008829916688152042
0.21630870599414848,0.00899125609082001
0.22188719650518707,0.00917667545321136
0.22746547913766335,0.00936908577165143
0.23304369247728557,0.009563826408774411
0.23862204440261603,0.009753906408531576
0.2442004656208005,0.009941656089605833
0.24977708522477882,0.010189994056435711
0.25535439775729785,0.010415028836436503
0.2609300287832245,0.01069661268314254
0.26650701332956767,0.010932677638242433
0.27208280141929686,0.011208979429267213
0.2776590745590047,0.011468968989511628
0.28323458547731756,0.011754592055268045
0.2888091724909093,0.012071286036796566
0.29438463721398617,0.012358462648341582
0.299958485103801,0.012700013362487796
0.3055330952150107,0.01301593057112202
0.31110749744765825,0.013338838735804968
0.3166814146303272,0.013678059131268273
0.32225456959160115,0.01404291303224357
0.32782786313858325,0.014403106295853053
0.33340037136655243,0.014789709837868831
0.3389739305361419,0.015140970213193833
0.34454656580101023,0.015523301504290942
0.3501188892480352,0.015916119229461144
0.3556916284521846,0.016294955042533893
0.3612639518992095,0.016687772767704095
0.36683641393194266,0.017075929855508477
0.3725364075378193,0.01744315593959936
0.3779809222402844,0.017866225943214693
0.38355296851589293,0.018268364943116528
0.38912487620579334,0.01867516458038418
0.3946966453099856,0.01908662485501765
0.4002686915855942,0.01948876385491948
0.4058401835183701,0.019909545404284582
0.41141077464404285,0.020360621096527497
0.4169822665768188,0.020781402645892594
0.4226811534218316,0.02118584909783549
0.4281235874138726,0.021678893393012603
0.4336934509645774,0.022154437431426054
0.43926376491883384,0.022614834398400598
0.4448326583695816,0.023123002898374767
0.4502339578136753,0.023576750107314103
0.4559720390067209,0.02408574256861621
0.4615411056896038,0.024588085271883105
0.4671113849974332,0.025049647398199107
0.4726803138645286,0.02555662484640201
0.47824962230248014,0.026050837326708536
0.48381938191390395,0.026529876843146352
0.4893893494038899,0.027001925403535437
0.4949588318438972,0.027490286194704883
