Default Dataset,
X,Y
0.0012257166859437254,0.9161439462316857
0.0036553907293404107,0.9249652950620436
0.0060859233242823736,0.9354157454495639
0.008516509578695914,0.9459680146844067
0.010947149492581036,0.9566221027665722
0.013377682087522996,0.9670725531540924
0.015808965915067072,0.9789484674041294
0.018240839996798527,0.9919443889747156
0.02067168175133787,1.0029814696982498
0.023102191370530885,1.0133883236021435
0.02553442318207287,1.0270630374882137
0.027965975306974845,1.039448045974864
0.030398010367121038,1.052749424087418
0.032829777129909345,1.0655417079633587
0.035261758530583956,1.0787412672285899
0.03769379359073015,1.092042645341144
0.04012586889548003,1.10542038758919
0.04255840030573834,1.1196635900394782
0.04499134757690139,1.134695888556517
0.04742418752912129,1.1495245493789106
0.04985745675711381,1.1651677609798852
0.05229067232563475,1.1807091537335372
0.054724227737475734,1.196895399186899
0.05715694248426194,1.211486482698873
0.059627835945077146,1.2288022041337063
0.062025734638053345,1.2470492974883727
0.06445921850393219,1.2630997844786378
0.06689323896452684,1.280168459942129
0.06932725942512148,1.2972371354056205
0.07176154818307402,1.3148149051057252
0.07419567596261184,1.3320872182638621
0.07662985740162122,1.3494613502693213
0.07913804866680703,1.3678301835501343
0.08150061706937056,1.3887575227939843
0.08393301880257256,1.4027546630299095
0.08636905149335145,1.4236415452679998
0.08880382318654821,1.442135684594008
0.09123848756080181,1.4604261862253711
0.09367293729716909,1.4783094124674436
0.09610765533089428,1.4967017329461294
0.09854242702409105,1.5151958722721377
0.10097735969570254,1.5339954681401138
0.10341234602678563,1.5528968828554128
0.10584765431469818,1.5724092106546474
0.1082833203324213,1.5926003307693664
0.11071809202561805,1.6110944700953747
0.11315400845420852,1.6317607448309324
0.11558985333683687,1.6522912611033933
0.11802596651682314,1.6733308716124675
0.11957562522631142,1.6855904510843
